10000,21, 17, 19, 19, 15
30000,79, 55, 56, 60, 55
50000,111, 98, 110, 130, 113
70000,181, 190, 153, 181, 174
90000,250, 233, 221, 235, 220
110000,276, 262, 259, 251, 230
130000,332, 338, 345, 333, 329
150000,377, 361, 359, 377, 365
170000,457, 421, 447, 429, 433
190000,478, 485, 476, 466, 485
210000,590, 606, 580, 581, 569
230000,602, 594, 610, 609, 624
250000,831, 804, 808, 843, 806
270000,879, 864, 841, 858, 873
290000,892, 879, 869, 865, 873
310000,1019, 1051, 1002, 1027, 1035
330000,1179, 1150, 1166, 1143, 1188
350000,1189, 1184, 1168, 1172, 1193
370000,1259, 1250, 1268, 1245, 1243
390000,1312, 1315, 1319, 1309, 1302
410000,1427, 1375, 1387, 1376, 1384
430000,1426, 1461, 1457, 1455, 1444
450000,1391, 1409, 1408, 1398, 1387
470000,1702, 1762, 1721, 1697, 1641
490000,1592, 1706, 1695, 1722, 1701
510000,1835, 1797, 1800, 1813, 1788
530000,1704, 1679, 1696, 1681, 1742
550000,1898, 1905, 1852, 1802, 1844
570000,2397, 2429, 2411, 2408, 2389
590000,2215, 2267, 2267, 2260, 2274
610000,2190, 2314, 2319, 2300, 2306
630000,2782, 2741, 2763, 2728, 2626
650000,2329, 2335, 2338, 2438, 2409
670000,2654, 2630, 2605, 2572, 2500
690000,2372, 2433, 2381, 2387, 2428
710000,2594, 2569, 2593, 2556, 2568
730000,2529, 2585, 2687, 2581, 2518
750000,2628, 2648, 2660, 2672, 2608
770000,2584, 2540, 2615, 2614, 2524
790000,3016, 3095, 3261, 3235, 3185
810000,3065, 3033, 2997, 2992, 2988
830000,2865, 3031, 2966, 3423, 3706
850000,3510, 3317, 3239, 3255, 3238
870000,3363, 3312, 3299, 3205, 3215
890000,3323, 3282, 3297, 3509, 3515
910000,3277, 3306, 3300, 3297, 3322
930000,3435, 3442, 3371, 3396, 3402
950000,3521, 3585, 3534, 3475, 3428
970000,3799, 3990, 3999, 3970, 4022
990000,3956, 4011, 3982, 3946, 4015
1010000,4357, 4399, 4371, 4161, 4216
1030000,4353, 4417, 4444, 4416, 4473
1050000,4676, 4785, 4683, 4460, 4631
1070000,4209, 4159, 4156, 4147, 4154
1090000,4086, 4254, 4188, 4024, 4221
1110000,4414, 4462, 4518, 4392, 4496
1130000,4432, 4480, 4564, 4474, 4446
1150000,4775, 4771, 4488, 4524, 4527
1170000,4308, 4313, 4271, 4274, 4242
1190000,4974, 5069, 5254, 5357, 5318
1210000,4878, 4913, 4878, 4866, 4890
1230000,5150, 5247, 5114, 5113, 5115
1250000,4870, 4925, 5003, 4982, 4950
1270000,5518, 5487, 5464, 5523, 5570
1290000,4852, 4842, 4832, 4967, 4930
1310000,5140, 5386, 5466, 5527, 5295
1330000,5095, 5344, 5715, 5511, 5250
1350000,5845, 5651, 5933, 5927, 5476
1370000,5584, 5645, 5751, 5668, 5718
1390000,5553, 5706, 5712, 6056, 6361
1410000,5909, 5973, 5927, 6025, 5889
1430000,5916, 5914, 5902, 5978, 6221
1450000,7348, 7294, 7167, 7398, 7207
1470000,5929, 5944, 5875, 5904, 5937
1490000,6405, 6337, 6300, 6255, 6203
1510000,6314, 6628, 6673, 6582, 6609
1530000,6426, 6375, 6264, 6312, 6751
1550000,6757, 6348, 6144, 5928, 6027
1570000,6745, 6750, 6725, 6708, 6727
1590000,7319, 7191, 7351, 7437, 7468
1610000,7092, 6967, 6963, 6790, 6699
1630000,7535, 7476, 7497, 7725, 7794
1650000,7704, 7745, 7733, 7706, 7610
1670000,7506, 7386, 7524, 7599, 7406
1690000,6962, 7046, 6967, 6747, 6804
1710000,7531, 7985, 8576, 7912, 7930
1730000,8633, 8252, 8237, 8218, 8288
1750000,7249, 7350, 7298, 7281, 7241
1770000,7115, 7096, 7137, 7296, 7669
1790000,8590, 8502, 8809, 9214, 9118
1810000,9289, 9050, 9056, 9312, 9256
1830000,8508, 8830, 8386, 8556, 8574
1850000,8302, 8118, 7989, 7907, 8029
1870000,8492, 8688, 8819, 8884, 8802
1890000,9105, 8915, 8955, 9144, 9311
1910000,8714, 8663, 8499, 8524, 8565
1930000,9992, 9601, 11002, 9677, 9565
1950000,8279, 8090, 8638, 8484, 8598
1970000,9328, 9342, 9097, 8963, 8929
1990000,9126, 9113, 9305, 9044, 8983
