10000,14, 1, 0, 1, 1
30000,6, 2, 2, 2, 2
50000,7, 6, 4, 3, 5
70000,5, 12, 5, 6, 5
90000,8, 11, 8, 8, 11
110000,12, 19, 18, 11, 17
130000,18, 13, 20, 13, 11
150000,18, 27, 12, 14, 14
170000,28, 19, 18, 19, 17
190000,22, 34, 19, 27, 23
210000,32, 51, 26, 27, 32
230000,42, 29, 41, 24, 34
250000,35, 26, 26, 34, 23
270000,45, 27, 44, 26, 26
290000,40, 29, 45, 30, 34
310000,32, 43, 53, 44, 47
330000,54, 35, 47, 45, 32
350000,58, 36, 51, 38, 36
370000,69, 54, 36, 49, 42
390000,60, 72, 45, 48, 51
410000,76, 57, 56, 43, 62
430000,52, 74, 46, 54, 57
450000,56, 69, 51, 52, 61
470000,91, 62, 73, 65, 49
490000,51, 80, 58, 61, 54
510000,56, 87, 78, 73, 72
530000,95, 70, 89, 55, 84
550000,91, 57, 85, 79, 85
570000,74, 72, 78, 67, 106
590000,76, 89, 77, 91, 76
610000,115, 85, 98, 74, 82
630000,98, 98, 76, 72, 85
650000,89, 94, 77, 106, 81
670000,124, 89, 105, 86, 108
690000,107, 110, 107, 102, 93
710000,107, 115, 86, 96, 106
730000,140, 113, 118, 104, 105
750000,117, 130, 117, 94, 123
770000,116, 125, 125, 111, 112
790000,172, 105, 104, 100, 98
810000,142, 110, 125, 102, 143
830000,104, 132, 133, 132, 117
850000,136, 102, 109, 104, 135
870000,156, 111, 144, 154, 140
890000,147, 137, 123, 155, 138
910000,190, 142, 113, 141, 132
930000,158, 130, 174, 153, 129
950000,164, 118, 165, 125, 152
970000,153, 126, 160, 161, 160
990000,152, 142, 124, 141, 120
1010000,126, 122, 156, 159, 129
1030000,157, 134, 149, 173, 153
1050000,157, 191, 135, 224, 129
1070000,151, 184, 165, 149, 164
1090000,216, 144, 241, 144, 140
1110000,164, 174, 178, 166, 206
1130000,181, 138, 205, 157, 145
1150000,221, 176, 188, 220, 177
1170000,196, 203, 161, 147, 162
1190000,233, 204, 205, 196, 199
1210000,191, 148, 206, 174, 176
1230000,220, 212, 216, 225, 225
1250000,203, 156, 210, 219, 209
1270000,178, 238, 175, 241, 198
1290000,222, 173, 213, 222, 213
1310000,222, 220, 224, 216, 211
1330000,223, 224, 225, 219, 236
1350000,231, 228, 228, 220, 246
1370000,181, 254, 243, 210, 237
1390000,271, 189, 180, 197, 202
1410000,186, 223, 182, 243, 205
1430000,189, 228, 186, 241, 198
1450000,206, 206, 191, 189, 250
1470000,210, 209, 196, 194, 251
1490000,249, 279, 200, 215, 242
1510000,259, 278, 220, 235, 216
1530000,263, 233, 231, 213, 227
1550000,300, 242, 274, 250, 260
1570000,224, 214, 195, 196, 276
1590000,234, 207, 205, 240, 233
1610000,240, 214, 201, 265, 278
1630000,312, 277, 237, 323, 255
1650000,272, 253, 254, 207, 277
1670000,262, 210, 221, 261, 301
1690000,331, 267, 298, 265, 267
1710000,330, 321, 302, 321, 296
1730000,376, 392, 244, 247, 341
1750000,255, 278, 283, 259, 320
1770000,266, 273, 254, 320, 329
1790000,273, 261, 262, 342, 326
1810000,322, 260, 317, 317, 336
1830000,283, 276, 270, 349, 337
1850000,309, 273, 266, 358, 339
1870000,273, 325, 302, 359, 335
1890000,371, 372, 332, 386, 339
1910000,347, 351, 330, 323, 269
1930000,351, 335, 350, 314, 262
1950000,353, 341, 350, 331, 278
1970000,289, 363, 314, 358, 285
1990000,312, 447, 336, 369, 307
