len, t1, t2, t3, t4, t5
1460000,11538, 7843, 10357, 7375, 7947
1470000,9816, 9912, 9798, 8453, 7436
1480000,12089, 7589, 7806, 14285, 10663
1490000,14589, 13462, 8233, 9991, 9171
1500000,7850, 10068, 9933, 8335, 8265
1510000,8138, 7879, 8877, 11161, 7667
1520000,8210, 7763, 7707, 8801, 9273
1530000,7753, 7319, 7602, 7924, 7575
1540000,7118, 6859, 7954, 10286, 9382
1550000,9063, 8661, 9501, 7623, 7823
1560000,8281, 8156, 8463, 7777, 7803
1570000,7759, 7642, 7532, 7840, 7886
1580000,7983, 7376, 8088, 7935, 8059
1590000,7781, 7317, 7602, 7369, 7578
1600000,7376, 7821, 7725, 8241, 7979
1610000,8520, 7800, 8261, 8120, 7559
1620000,7810, 7869, 7215, 8301, 9022
1630000,9458, 8801, 9711, 9679, 9656
1640000,8143, 7509, 7580, 7900, 8158
1650000,7396, 7892, 12510, 15898, 19785
1660000,17326, 10266, 11639, 11094, 11102
1670000,9184, 9028, 8680, 7951, 7743
1680000,7935, 8251, 7760, 7561, 7898
1690000,8980, 8668, 7915, 9251, 9594
1700000,9329, 10656, 8609, 8775, 8719
1710000,9198, 9089, 9501, 8925, 12551
1720000,12707, 10678, 10328, 13600, 10193
1730000,9358, 8956, 8866, 8657, 8523
1740000,13450, 27904, 13901, 14446, 11437
1750000,18704, 13375, 11281, 13471, 11447
1760000,11899, 10695, 10828, 11996, 14738
1770000,15056, 16723, 17652, 12729, 10778
1780000,9288, 8961, 8459, 8897, 8772
1790000,8991, 8979, 8890, 8354, 8974
1800000,8164, 8400, 8353, 8004, 10888
1810000,9042, 9878, 9403, 8563, 8384
1820000,8372, 8795, 8980, 9565, 9334
1830000,8894, 8453, 8183, 8299, 8327
1840000,8362, 8482, 8534, 8515, 8529
1850000,8567, 8562, 8335, 8730, 8680
1860000,8593, 8493, 8437, 8558, 8361
1870000,8180, 8283, 8138, 8030, 7831
1880000,7767, 7905, 7960, 7913, 7700
1890000,8184, 8378, 8821, 8852, 8914
1900000,8962, 8710, 8718, 8866, 8839
1910000,8743, 8715, 8791, 8885, 9060
1920000,8713, 8772, 8732, 8671, 8392
1930000,7881, 7999, 7919, 7880, 8084
1940000,8666, 8811, 8594, 8295, 8358
1950000,8254, 8157, 8160, 8147, 8260
1960000,9234, 9320, 9271, 10006, 9763
1970000,8284, 8062, 8124, 8049, 8237
1980000,8551, 8795, 8747, 8741, 8313
1990000,8405, 8707, 9465, 9175, 8784
2000000,8623, 8425, 8469, 9158, 8744
