10000,13, 1, 0, 0, 0, 0, 0, 0, 0, 0
20000,1, 1, 1, 1, 3, 1, 1, 1, 1, 1
30000,2, 5, 2, 2, 3, 2, 2, 2, 2, 2
40000,6, 3, 3, 3, 3, 8, 3, 3, 3, 4
50000,4, 5, 13, 6, 8, 12, 7, 5, 4, 11
60000,5, 6, 15, 5, 8, 12, 7, 16, 6, 8
70000,10, 12, 9, 8, 10, 6, 7, 6, 15, 6
80000,13, 7, 8, 7, 11, 6, 6, 7, 16, 8
90000,16, 10, 9, 8, 10, 8, 10, 7, 14, 11
100000,14, 10, 19, 14, 16, 11, 18, 9, 14, 9
110000,10, 19, 13, 12, 15, 11, 19, 11, 11, 11
120000,15, 11, 20, 17, 18, 13, 13, 11, 10, 11
130000,11, 22, 15, 11, 12, 16, 12, 18, 17, 17
140000,19, 15, 27, 16, 19, 20, 15, 22, 16, 21
150000,19, 29, 18, 14, 26, 20, 22, 13, 17, 19
160000,31, 19, 17, 18, 20, 19, 15, 34, 16, 17
170000,21, 18, 27, 24, 21, 19, 28, 16, 16, 24
180000,21, 19, 21, 33, 20, 21, 30, 15, 16, 29
190000,24, 18, 21, 19, 29, 30, 19, 24, 23, 31
200000,31, 20, 21, 25, 21, 23, 32, 22, 21, 22
210000,25, 27, 19, 21, 27, 37, 26, 22, 21, 20
220000,31, 28, 42, 31, 27, 34, 27, 33, 23, 26
230000,24, 28, 27, 40, 26, 25, 31, 25, 26, 26
240000,36, 28, 25, 23, 37, 42, 28, 28, 22, 24
250000,38, 27, 37, 29, 29, 27, 34, 51, 38, 29
260000,35, 35, 26, 30, 30, 30, 43, 37, 28, 29
270000,37, 42, 30, 41, 38, 32, 31, 34, 28, 30
280000,40, 30, 28, 35, 47, 51, 33, 34, 42, 32
290000,30, 48, 32, 36, 42, 35, 32, 54, 29, 46
300000,67, 31, 43, 34, 40, 29, 39, 31, 43, 41
310000,73, 37, 47, 40, 40, 33, 33, 36, 37, 40
320000,67, 37, 51, 39, 44, 33, 56, 33, 31, 43
330000,47, 34, 49, 38, 35, 52, 39, 36, 46, 45
340000,33, 41, 38, 48, 44, 33, 49, 36, 38, 48
350000,58, 37, 53, 38, 47, 44, 35, 35, 49, 39
360000,58, 53, 40, 52, 41, 40, 54, 36, 41, 49
370000,48, 37, 65, 52, 54, 59, 46, 42, 58, 43
380000,58, 68, 50, 41, 54, 38, 42, 49, 42, 44
390000,58, 57, 43, 74, 58, 46, 47, 48, 44, 45
400000,87, 66, 60, 42, 45, 55, 49, 55, 42, 51
410000,57, 76, 46, 58, 42, 53, 44, 49, 42, 57
420000,73, 52, 54, 45, 44, 54, 42, 68, 43, 64
430000,68, 66, 58, 44, 61, 47, 53, 77, 48, 63
440000,60, 66, 59, 54, 59, 91, 54, 53, 45, 70
450000,76, 58, 72, 47, 58, 57, 61, 45, 85, 47
460000,65, 85, 63, 60, 51, 53, 54, 50, 64, 60
470000,82, 60, 67, 62, 58, 48, 51, 65, 51, 56
480000,47, 91, 56, 83, 50, 86, 52, 52, 52, 59
490000,72, 89, 62, 67, 69, 49, 80, 50, 79, 51
500000,49, 73, 53, 54, 65, 62, 121, 65, 91, 54
510000,87, 128, 78, 82, 76, 106, 71, 99, 77, 65
520000,77, 62, 108, 55, 73, 58, 133, 63, 61, 61
530000,65, 71, 85, 53, 82, 75, 63, 65, 69, 72
540000,84, 65, 127, 76, 65, 70, 86, 53, 86, 72
550000,55, 104, 56, 108, 104, 82, 84, 68, 59, 85
560000,98, 67, 97, 106, 109, 105, 92, 111, 98, 101
570000,119, 95, 94, 98, 100, 89, 102, 90, 88, 67
580000,109, 74, 89, 72, 83, 104, 93, 102, 84, 92
590000,105, 90, 102, 86, 96, 101, 104, 85, 134, 89
600000,92, 95, 85, 91, 86, 115, 99, 80, 86, 82
610000,96, 98, 78, 102, 75, 80, 90, 82, 97, 82
620000,114, 120, 74, 98, 78, 77, 76, 75, 93, 67
630000,111, 76, 74, 88, 67, 73, 85, 84, 105, 75
640000,92, 76, 89, 92, 102, 91, 82, 97, 80, 79
650000,107, 77, 82, 78, 79, 82, 101, 91, 86, 105
660000,97, 114, 94, 86, 103, 76, 93, 93, 86, 110
670000,99, 110, 104, 82, 79, 110, 95, 89, 104, 81
