10000,129, 1, 1, 1, 1
30000,24, 5, 5, 4, 5
50000,43, 11, 8, 9, 26
70000,12, 38, 13, 22, 35
90000,49, 21, 24, 18, 43
110000,23, 16, 24, 16, 70
130000,31, 45, 97, 39, 60
150000,41, 58, 42, 45, 87
170000,39, 44, 57, 32, 36
190000,59, 37, 136, 45, 61
210000,38, 32, 63, 61, 53
230000,57, 90, 44, 40, 57
250000,62, 60, 63, 78, 59
270000,49, 78, 62, 145, 40
290000,43, 37, 60, 39, 79
310000,55, 102, 39, 82, 43
330000,46, 87, 39, 63, 70
350000,70, 61, 76, 82, 62
370000,50, 73, 78, 49, 111
390000,49, 80, 83, 51, 87
410000,53, 88, 85, 55, 82
430000,119, 53, 88, 86, 100
450000,110, 117, 100, 58, 91
470000,115, 85, 62, 79, 131
490000,121, 91, 64, 83, 154
510000,106, 109, 115, 73, 119
530000,105, 114, 140, 115, 109
550000,142, 116, 148, 125, 82
570000,110, 115, 115, 120, 124
590000,119, 160, 127, 117, 117
610000,137, 126, 117, 197, 118
630000,198, 209, 158, 169, 155
650000,140, 193, 151, 163, 135
670000,198, 157, 162, 141, 134
690000,116, 179, 212, 164, 206
710000,194, 173, 200, 194, 127
730000,171, 151, 228, 166, 180
750000,169, 121, 171, 205, 117
770000,159, 178, 121, 178, 183
790000,191, 218, 138, 211, 210
810000,302, 130, 193, 236, 129
830000,207, 123, 281, 124, 292
850000,195, 244, 126, 293, 146
870000,166, 303, 147, 298, 154
890000,169, 408, 169, 379, 174
910000,164, 366, 173, 372, 216
930000,205, 283, 273, 193, 349
950000,319, 256, 193, 466, 218
970000,305, 194, 295, 324, 190
990000,300, 201, 281, 281, 203
1010000,302, 189, 338, 168, 375
1030000,307, 274, 284, 278, 190
1050000,278, 304, 219, 293, 308
1070000,286, 206, 336, 291, 294
1090000,201, 362, 198, 317, 310
1110000,339, 329, 310, 239, 437
1130000,363, 294, 298, 277, 316
1150000,313, 298, 406, 315, 288
1170000,344, 228, 347, 209, 361
1190000,362, 318, 348, 314, 311
1210000,310, 334, 334, 304, 343
1230000,326, 448, 193, 391, 202
1250000,307, 328, 337, 343, 457
1270000,416, 334, 335, 343, 353
1290000,348, 350, 327, 369, 432
1310000,341, 350, 355, 409, 353
1330000,454, 357, 375, 327, 353
1350000,330, 368, 420, 348, 329
1370000,368, 364, 454, 354, 358
1390000,341, 358, 492, 363, 393
1410000,348, 407, 440, 520, 365
1430000,497, 351, 402, 469, 506
1450000,424, 489, 376, 405, 455
1470000,375, 419, 482, 521, 376
1490000,454, 489, 563, 445, 502
1510000,541, 403, 439, 510, 559
1530000,389, 422, 496, 532, 540
1550000,458, 528, 511, 547, 403
1570000,516, 516, 543, 554, 414
1590000,505, 510, 510, 532, 566
1610000,457, 519, 541, 506, 543
1630000,570, 425, 472, 522, 523
1650000,520, 561, 570, 642, 596
1670000,460, 581, 572, 574, 604
1690000,630, 610, 678, 768, 581
1710000,623, 676, 467, 526, 576
1730000,596, 644, 591, 555, 553
1750000,577, 577, 583, 607, 684
1770000,591, 572, 576, 582, 598
1790000,563, 622, 570, 577, 565
1810000,570, 598, 570, 558, 649
1830000,625, 688, 621, 630, 614
1850000,618, 451, 656, 489, 593
1870000,650, 466, 551, 517, 482
1890000,643, 644, 494, 619, 727
1910000,643, 698, 743, 701, 535
1930000,715, 757, 542, 637, 678
1950000,643, 675, 522, 553, 712
1970000,653, 685, 527, 677, 697
1990000,668, 708, 530, 698, 777
